# ============================================================
# Nifty F&O Stocks — Symbol & Lot Sizes
# Source: NSE F&O segment (as of June 2026)
# ⚠️  Lot sizes change periodically — verify before trading
# Format: SYMBOL | LOT_SIZE | SECTOR
# ============================================================

SYMBOL            | LOT_SIZE | SECTOR
POWERGRID         |     2250 | Power
PVRINOX           |      400 | Entertainment
RAMCOCEM          |      500 | Cement
RBLBANK           |     3000 | Banking
RECLTD            |     2000 | Power Finance
RELIANCE          |      250 | Oil & Telecom
SAIL              |     4300 | Steel
SBICARD           |      800 | Credit Cards
SBILIFE           |      750 | Insurance
SBIN              |     1500 | Banking
SHREECEM          |       25 | Cement
SHRIRAMFIN        |      300 | NBFC
SIEMENS           |       75 | Capital Goods
SRF               |      125 | Chemicals
SUNPHARMA         |      350 | Pharma
SUNTV             |     1000 | Media
SUPREMEIND        |      125 | Plastics
SUZLON            |     7000 | Renewables
SYNGENE           |      650 | CRO / Pharma
TATACHEM          |      500 | Chemicals
TATACOMM          |      275 | Telecom
TATACONSUM        |      825 | FMCG
TATAMOTORS        |      550 | Auto
TATAPOWER         |     2700 | Power
TATASTEEL         |     1650 | Steel
TCS               |      175 | IT
TECHM             |      600 | IT
TIINDIA           |      175 | Auto Ancillary
TITAN             |      375 | Jewellery
TORNTPHARM        |      250 | Pharma
TORNTPOWER        |      500 | Power
TRENT             |      275 | Retail
TVSMOTOR          |      350 | Auto
UBL               |      400 | Beverages
ULTRACEMCO        |      100 | Cement
UPL               |     1300 | Agrochemicals
VEDL              |     2000 | Metals
VOLTAS            |      500 | Consumer Durables
WIPRO             |     1500 | IT
ZYDUSLIFE         |      700 | Pharma

# ============================================================
# NOTES:
# 1. Lot sizes revised by SEBI periodically (usually every 6 months)
#    Always verify at: https://www.nseindia.com/products-services/equity-derivatives-list-underlyings-info
# 2. Stocks marked with * may have been added/removed from F&O recently
# 3. For backtesting use lot sizes only for margin/position sizing
# 4. Some stocks in this list may not have data in Nifty 500 Daily Data folder
#    (e.g. GMRINFRA, GSPL, L&TFH, MCDOWELL-N, MIDCPNIFTY, MINDTREE, PEL, TATAMOTORS)
# 5. Total F&O stocks as of June 2026: 182
# ============================================================
